Name,League,Year,Club,Matches Played,Starts,Minutes,Goals,Assists,Penalty Goals,Penalty Attempts,xGoals,non-penalty xGoals,xAssists
Luis Alberto,2015-2016,1. La Liga,La Coruña,29,25,"2,098",6,7,0,0,,,
Luis Alberto,2016-2017,1. Serie A,Lazio,9,4,365,1,2,0,0,,,
Luis Alberto,2017-2018,1. Serie A,Lazio,34,32,"2,669",11,14,1,1,7.2,5.7,11.8
Luis Alberto,2018-2019,1. Serie A,Lazio,27,25,"1,990",4,5,1,1,4.2,3.4,5.9
Luis Alberto,2019-2020,1. Serie A,Lazio,36,36,"3,113",6,15,1,1,6.6,5.8,11.4
Luis Alberto,2020-2021,1. Serie A,Lazio,34,33,"2,618",9,2,0,0,5.1,5.0,7.9
Luis Alberto,2021-2022,1. Serie A,Lazio,34,27,"2,353",5,9,0,0,3.3,3.3,7.8
Luis Alberto,2022-2023,1. Serie A,Lazio,35,27,"2,442",6,7,1,1,4.4,2.7,7.0
Luis Alberto,2023-2024,1. Serie A,Lazio,33,29,"2,311",5,7,0,0,4.7,4.7,4.7
Luiz Felipe,2016-2017,2. Serie B,Salernitana,7,4,404,1,0,0,0,,,
Luiz Felipe,2017-2018,1. Serie A,Lazio,18,12,"1,168",0,1,0,0,0.2,0.2,0.0
Luiz Felipe,2018-2019,1. Serie A,Lazio,17,15,"1,289",1,1,0,0,0.6,0.6,0.4
Luiz Felipe,2019-2020,1. Serie A,Lazio,26,24,"2,024",1,1,0,0,1.0,1.0,0.4
Luiz Felipe,2020-2021,1. Serie A,Lazio,14,10,909,0,0,0,0,0.3,0.3,0.3
Luiz Felipe,2021-2022,1. Serie A,Lazio,31,28,"2,491",0,0,0,0,0.3,0.3,0.2
Luiz Felipe,2022-2023,1. La Liga,Betis,23,22,"1,763",0,0,0,0,0.2,0.2,0.3
Luiz Felipe,2023-2024,1. La Liga,Betis,4,4,360,0,0,0,0,0.1,0.1,0.2
Luiz Felipe,2023-2024,1. Pro League,Al-Ittihad,18,17,"1,386",0,0,0,0,,,
Luiz Felipe,2024-2025,1. Saudi Professional League,Al-Ittihad,1,1,19,0,0,0,0,,,
Lyanco,2015,1. Série A,São Paulo,9,4,416,0,0,0,0,,,
Lyanco,2016,1. Série A,São Paulo,12,10,963,1,0,0,0,,,
Lyanco,2017-2018,1. Serie A,Torino,4,4,316,0,0,0,0,0.1,0.1,0.0
Lyanco,2018-2019,1. Serie A,Bologna,13,13,"1,119",1,0,0,0,0.4,0.4,0.3
Lyanco,2018-2019,1. Serie A,Torino,2,1,90,0,0,0,0,0.0,0.0,0.0
Lyanco,2019-2020,1. Serie A,Torino,17,15,"1,176",0,0,0,0,0.1,0.1,0.2
Lyanco,2020-2021,1. Serie A,Torino,23,21,"1,959",0,0,0,0,1.0,1.0,0.5
Lyanco,2021-2022,1. Premier League,Southampton,15,9,911,0,0,0,0,0.3,0.3,0.1
Lyanco,2022-2023,1. Premier League,Southampton,21,11,"1,180",1,1,0,0,0.6,0.6,0.5
Lyanco,2023-2024,2. Championship,Southampton,0,0,,,,,,,,
Lyanco,2024,1. Série A,Atlético Mineiro,12,10,904,0,0,0,0,0.2,0.2,0.2
M'Baye Niang,2010-2011,1. Ligue 1,Caen,7,4,336,3,0,0,0,,,
M'Baye Niang,2011-2012,1. Ligue 1,Caen,23,14,"1,043",2,0,0,0,,,
M'Baye Niang,2012-2013,1. Serie A,Milan,20,9,873,0,1,0,0,,,
M'Baye Niang,2013-2014,1. Ligue 1,Montpellier,19,17,"1,375",4,2,0,0,,,
M'Baye Niang,2013-2014,1. Serie A,Milan,8,1,240,0,1,0,0,,,
M'Baye Niang,2014-2015,1. Serie A,Genoa,14,12,962,5,2,0,0,,,
M'Baye Niang,2014-2015,1. Serie A,Milan,5,1,87,0,0,0,0,,,
M'Baye Niang,2015-2016,1. Serie A,Milan,16,15,"1,147",5,4,2,2,,,
M'Baye Niang,2016-2017,1. Serie A,Milan,18,13,"1,120",3,2,1,1,,,
M'Baye Niang,2016-2017,1. Premier League,Watford,16,15,"1,246",2,2,0,0,,,
M'Baye Niang,2017-2018,1. Serie A,Torino,26,18,"1,532",4,2,0,0,4.7,4.7,1.1
M'Baye Niang,2018-2019,1. Ligue 1,Rennes,29,19,"1,793",11,4,2,2,7.8,6.3,1.7
M'Baye Niang,2019-2020,1. Ligue 1,Rennes,26,24,"2,126",10,0,0,0,9.3,7.7,0.6
M'Baye Niang,2020-2021,1. Ligue 1,Rennes,9,4,422,1,0,0,0,1.0,1.0,0.1
M'Baye Niang,2020-2021,1. Pro League,Al-Ahli,5,1,122,0,0,0,0,,,
M'Baye Niang,2021-2022,1. Ligue 1,Bordeaux,22,7,777,3,1,0,0,3.3,3.3,1.7
M'Baye Niang,2022-2023,1. Ligue 1,Auxerre,30,17,"1,482",6,0,3,3,7.2,4.9,0.6
M'Baye Niang,2023-2024,1. Serie A,Empoli,14,5,708,6,1,4,4,5.4,2.3,0.9
M'Baye Niang,2023-2024,1. Süper Lig,Adana Demirspor,16,13,986,8,1,4,4,,,
Manuel De Luca,2016-2017,1. Serie A,Torino,0,0,,,,,,,,
Manuel De Luca,2017-2018,1. Serie A,Torino,0,0,,,,,,,,
Manuel De Luca,,,,,,,,,,,,,
Manuel De Luca,2019-2020,2. Serie B,Virtus Entella,19,11,937,3,1,0,0,5.8,5.8,0.4
Manuel De Luca,2020-2021,2. Serie B,Chievo,32,17,"1,533",6,1,0,0,7.3,7.3,1.7
Manuel De Luca,2021-2022,2. Serie B,Perugia,33,29,"2,454",10,3,4,4,15.6,11.7,2.7
